Feature,Mean_Importance,Std_Importance,Mean_Permutation_Std
roundness,0.05243336792759098,0.00623897922282673,0.005398198228992292
ShapeFactor1,0.01807720074301535,0.00396769401997393,0.004063908147162313
MinorAxisLength,0.017706080355636207,0.0040583670835328675,0.003943345161849559
Perimeter,0.010506608393881586,0.005184221265035243,0.004204309784133066
Area,0.009115620141512104,0.004984164673061769,0.004542061327543937
EquivDiameter,0.009115620141512104,0.004984164673061769,0.004542061327543937
ConvexArea,0.008759080884295209,0.0049649724478527104,0.004658107767234075
MajorAxisLength,0.006383165701020241,0.004982340641550904,0.0038352040380486042
ShapeFactor4,0.005255763022768296,0.0038042110758971697,0.002805275463442426
ShapeFactor2,0.004035954610820421,0.004882878173087409,0.002686265029217572
Extent,0.0029285340642367695,0.004092807526973372,0.0021696153480332244
Solidity,0.0020234708192602936,0.004088562825843839,0.0017971188838676717
Compactness,0.0007456559663787999,0.0020401199051393445,0.0016596136665543056
ShapeFactor3,0.0007456559663787999,0.0020401199051393445,0.0016596136665543056
Eccentricity,0.00035412962201738287,0.0018217148284855613,0.0017178400652994737
AspectRation,0.0003370853914086558,0.0017993883612749159,0.0017030134317618747
